Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
080323T2T3a-0278,480741.429,4450275.136,-69.2692788734,-50.0994683638,159.879,156.973875348
080323T2T3a-0279,480737.106,4450274.999,-69.269339325,-50.0994694557,159.896,157.09023443
080323T2T3a-0280,480732.813,4450274.737,-69.2693993635,-50.0994716728,159.874,157.3475809
080323T2T3a-0281,480728.765,4450274.290,-69.2694559857,-50.0994755617,159.915,157.597465138
080323T2T3a-0282,480724.770,4450273.714,-69.2695118733,-50.0994806125,159.908,157.628943004
080323T2T3a-0283,480720.558,4450273.780,-69.2695707627,-50.0994798822,159.878,157.353431552
080323T2T3a-0284,480716.371,4450274.020,-69.2696292938,-50.0994775878,159.930,156.975565162
080323T2T3a-0285,480712.378,4450273.695,-69.2696851408,-50.0994803811,159.909,156.773772528
080323T2T3a-0286,480708.267,4450272.547,-69.2697426793,-50.0994905724,159.910,156.776878667
080323T2T3a-0287,480704.167,4450272.070,-69.2698000301,-50.0994947293,159.953,156.850854182
080323T2T3a-0288,480699.950,4450271.166,-69.2698590385,-50.0995027227,159.905,156.934580263
080323T2T3a-0289,480695.928,4450270.369,-69.2699153149,-50.09950976,159.942,156.983764554
080323T2T3a-0290,480692.676,4450270.065,-69.2699608001,-50.0995123884,159.935,156.991618071
080323T2T3a-0291,480690.297,4450270.482,-69.2699940426,-50.0995085606,159.913,156.964442598
080323T2T3a-0292,480689.539,4450270.658,-69.2700046321,-50.0995069531,159.904,156.955612857
080323T2T3a-0293,480689.525,4450270.615,-69.27000483,-50.0995073394,159.900,156.958009842
080323T2T3a-0294,480689.465,4450270.627,-69.2700056684,-50.0995072295,159.901,156.95741551
080323T2T3a-0295,480689.604,4450270.649,-69.2700037237,-50.0995070361,159.902,156.956026453
080323T2T3a-0296,480689.545,4450270.555,-69.2700045534,-50.0995078796,159.904,156.961302839
080323T2T3a-0297,480689.144,4450267.578,-69.2700103108,-50.0995346411,160.004,157.108806533
080323T2T3a-0298,480688.993,4450263.406,-69.270012633,-50.0995721584,159.918,157.214910427
080323T2T3a-0299,480688.801,4450258.700,-69.2700155554,-50.0996144769,159.963,157.235608716
080323T2T3a-0300,480688.743,4450254.103,-69.2700165988,-50.0996558195,159.938,157.203388249
080323T2T3a-0301,480688.603,4450249.879,-69.2700187698,-50.0996938048,160.055,157.122984495
080323T2T3a-0302,480688.413,4450245.940,-69.2700216255,-50.0997292252,159.985,156.980052643
080323T2T3a-0303,480687.762,4450241.439,-69.2700309555,-50.0997696851,160.058,156.900473446
080323T2T3a-0304,480687.505,4450237.115,-69.2700347675,-50.0998085659,160.083,157.037629548
080323T2T3a-0305,480687.286,4450232.929,-69.2700380413,-50.0998462068,160.083,157.30993591
080323T2T3a-0306,480687.068,4450228.755,-69.2700413004,-50.0998837399,160.079,157.539919021
080323T2T3a-0307,480686.942,4450224.259,-69.2700432895,-50.0999241719,160.099,157.650389025
080323T2T3a-0308,480686.690,4450219.789,-69.270047039,-50.099964366,160.028,157.698894487
080323T2T3a-0309,480686.530,4450215.096,-69.2700495134,-50.1000065686,160.071,157.708440351
080323T2T3a-0310,480686.140,4450210.702,-69.2700551887,-50.1000460747,160.163,157.665986312
080323T2T3a-0311,480686.000,4450206.351,-69.2700573662,-50.1000852022,160.084,157.575529602
080323T2T3a-0312,480685.658,4450202.050,-69.2700623656,-50.1001238734,160.105,157.454729776
080323T2T3a-0313,480685.375,4450197.379,-69.2700665588,-50.1001658742,160.080,157.278926439
080323T2T3a-0314,480685.050,4450193.074,-69.2700713207,-50.1002045819,160.238,157.101541988
080323T2T3a-0315,480684.936,4450188.720,-69.2700731348,-50.1002437372,160.169,156.944483033
080323T2T3a-0316,480684.645,4450184.382,-69.270077423,-50.1002827428,160.107,156.790415775
080323T2T3a-0317,480684.267,4450179.860,-69.270082937,-50.1003234005,160.106,156.742990979
