Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
260223T2T5a-0230,320331.810,4502838.451,-71.4865547795,-49.6002992583,282.780,281.659085315
260223T2T5a-0231,320333.738,4502838.568,-71.4865280695,-49.6002987799,282.303,280.903680279
260223T2T5a-0232,320335.232,4502840.390,-71.4865065804,-49.600282851,281.608,280.111545826
260223T2T5a-0233,320337.067,4502840.704,-71.4864810662,-49.6002805747,281.070,279.379169891
260223T2T5a-0234,320339.115,4502841.264,-71.4864524946,-49.600276151,280.290,278.571223028
260223T2T5a-0235,320340.780,4502842.686,-71.4864288242,-49.6002638674,279.623,277.860682551
260223T2T5a-0236,320343.028,4502843.658,-71.4863972991,-49.6002558008,278.871,277.025122129
260223T2T5a-0237,320345.067,4502844.317,-71.4863688066,-49.6002504848,278.262,276.315273425
260223T2T5a-0238,320346.905,4502844.871,-71.4863431412,-49.6002460527,277.494,275.700562096
260223T2T5a-0239,320348.496,4502846.254,-71.4863205119,-49.6002340975,276.885,275.095705169
260223T2T5a-0240,320349.920,4502847.666,-71.4863001782,-49.6002218321,276.398,274.527939943
260223T2T5a-0241,320351.933,4502848.192,-71.486272106,-49.6002177036,275.665,273.900172281
260223T2T5a-0242,320353.626,4502849.718,-71.4862480011,-49.6002044937,274.934,273.221791319
260223T2T5a-0243,320355.074,4502851.151,-71.486227326,-49.6001920467,274.200,272.609708842
260223T2T5a-0244,320356.796,4502852.089,-71.4862030889,-49.6001841293,273.527,272.017162166
260223T2T5a-0245,320358.753,4502853.376,-71.4861754431,-49.6001731456,272.785,271.355472683
260223T2T5a-0246,320360.774,4502854.294,-71.4861470812,-49.6001654968,272.051,270.775556264
260223T2T5a-0247,320362.889,4502855.343,-71.4861173598,-49.6001566987,271.252,270.154861924
260223T2T5a-0248,320364.806,4502856.883,-71.4860901515,-49.6001434295,270.559,269.471257215
260223T2T5a-0249,320367.028,4502858.044,-71.4860588996,-49.6001336567,269.665,268.712854634
260223T2T5a-0250,320369.450,4502859.113,-71.4860249245,-49.6001247701,268.800,267.849222879
260223T2T5a-0251,320371.672,4502860.146,-71.4859937311,-49.6001161475,268.055,267.008786048
260223T2T5a-0252,320373.873,4502861.734,-71.4859625743,-49.6001025314,267.205,266.048359058
260223T2T5a-0253,320376.135,4502863.205,-71.4859306277,-49.6000899847,266.317,265.070946384
260223T2T5a-0254,320378.514,4502864.089,-71.4858973317,-49.6000827477,265.493,264.177343295
260223T2T5a-0255,320380.868,4502865.868,-71.4858639723,-49.6000674606,264.681,263.249258745
260223T2T5a-0256,320383.129,4502867.358,-71.4858320309,-49.6000547429,263.802,262.451318
260223T2T5a-0257,320385.743,4502868.789,-71.4857952359,-49.6000426603,263.064,261.658964164
260223T2T5a-0258,320388.056,4502870.247,-71.4857625901,-49.6000302455,262.385,261.032278412
260223T2T5a-0259,320390.463,4502871.467,-71.4857287535,-49.6000199974,261.447,260.506305279
260223T2T5a-0260,320392.637,4502873.478,-71.4856977769,-49.600002572,260.670,259.938467476
260223T2T5a-0261,320394.809,4502875.018,-71.4856670431,-49.5999893785,259.961,259.350738919
260223T2T5a-0262,320397.333,4502877.089,-71.4856312,-49.5999715179,259.178,258.525217013
260223T2T5a-0263,320400.003,4502879.036,-71.485593395,-49.5999548149,258.376,257.624740567
260223T2T5a-0264,320402.942,4502881.259,-71.4855517448,-49.5999357116,257.405,256.613524646
260223T2T5a-0265,320405.637,4502883.689,-71.4855133734,-49.5999146757,256.557,255.682941024
260223T2T5a-0266,320408.819,4502886.168,-71.4854682465,-49.5998933441,255.882,254.845993009
260223T2T5a-0267,320412.400,4502888.230,-71.4854177937,-49.5998758783,255.348,254.265417591
260223T2T5a-0268,320416.018,4502890.863,-71.4853665685,-49.5998532923,254.771,253.873968068
260223T2T5a-0269,320419.870,4502893.247,-71.4853122218,-49.5998330134,254.379,253.497915328
